Speaker	City	Region	Gender	Ethnicity	Generation	Age	SEC Birth	SEC Now	Regionality	NSS	3D æg/ɛg OF	3D æg/eg OF	3D æg/e OF	3D ɛg/eg OF	3D ɛg/e OF	3D eg/e OF	2D æg/ɛg OF	2D æg/eg OF	2D æg/e OF	2D ɛg/eg OF	2D ɛg/e OF	2D eg/e OF	Advancement 1	Advancement 2	Advancement 3	Advancement 4	Friend 1 Ethnicity	Friend 1 Gender	Friend 2 Ethnicity	Friend 2 Gender	Friend 3 Ethnicity	Friend 3 Gender	Friend 4 Ethnicity	Friend 4 Gender	Friend 5 Ethnicity	Friend 5 Gender	Friend 6 Ethnicity	Friend 6 Gender	Friend 7 Ethnicity	Friend 7 Gender	Friend 8 Ethnicity	Friend 8 Gender	Friend 9 Ethnicity	Friend 9 Gender	Friend 10 Ethnicity	Friend 10 Gender	Total Friends	Same Friends	Same Proportion	Caucasian Friends	Caucasian Proportion	Caucasian Bias	Network Changed	Network Change Description
ECL83CM1Z	Clayton	East	Male	Caucasian	1	68	Middle	Lower-middle	2	8	0.100707	0.05668	0	0.996954	0	0	0.052632	0	0	0.984615	0.033333	0	0.5488305	0.526817	0.699220333	0.684544667	C	M	C	M	C	F	C	M	C	F	C	F	C	F	C	M	C	F	C	M	10	10		10	1	1	Yes	More people from other places.
ECL84CF1Z	Clayton	East	Female	Caucasian	1	68	Middle	Middle	2.5	7.5	0.022606	0.130316	0	0.458831	0	0.004032	0	0	0	0.743243	0	0.55	0.2407185	0.2945735	0.492468333	0.528371667	N	F	C	M	C	M	C	M	C	F	C	F	C	F	C	M	C	F	C	F	10	9		9	0.9	0.9	Yes	
EDP74CF1T	Deer Park	East	Female	Caucasian	1	75	Working	Middle	2	12.5	0.324723	0.430034	0.054688	0.331738	0.006849	0.069444	0.557143	0.829268	0	0.966667	0.140351	0	0.3282305	0.380886	0.529005667	0.564109333	C	M	C	F	C	F	C	F	C	F	C	M	C	F	C	F	C	F	N	M	10	9		9	0.9	0.9	Yes	Different people
EDP75CM1T	Deer Park	East	Male	Caucasian	1	73	Middle	Middle	2.5	11	0.081633	0.080087	0	0.728151	0.147541	0.303571	0.221374	0.083333	0	0.842912	0.615385	0.69697	0.404892	0.404119	0.502071	0.501555667	C	F	C	M	C	M	C	M	C	M	C	F	C	F	C	M					8	8		8	1	1	No	
ERI96CF2G	Richland	East	Female	Caucasian	2	54	Middle	Middle	2	6.5	0.454412	0.068465	0	0.747059	0.191489	0.278679	0.55	0.043478	0	0.807407	0.604938	0.834286	0.6007355	0.407762	0.640930667	0.512281667	C	F	C	F	C	M	C	M	H	M	C	F	H	F	C	F	C	F	C	M	10	8		8	0.8	0.8	Yes	Different because demographics in Richland have changed - no longer all White
ERI97CF3G	Richland	East	Female	Caucasian	3	28	Middle	Middle	2	7	0.111111	0	0	0.475285	0	0.10231	0	0	0	0.982456	0.145161	0.221053	0.293198	0.2376425	0.494695333	0.457658333	C	F	C	F	C	F	C	F	C	M	C	M	C	F	H	M	C	F	C	M	10	9		9	0.9	0.9	Yes	"yes, more far flung."
ERI98CF3G	Richland	East	Female	Caucasian	3	23	Middle	Middle	1	10	0.136292	0.140759	0.028446	0.385604	0.155825	0.417465	0.148515	0	0	0.604938	0.008929	0.582192	0.260948	0.2631815	0.368143667	0.369632667	C	F	C	F	C	F	C	F	C	M	C	M	C	M	C	M	C	M	C	M	10	10		10	1	1	Yes	"yes, more drug use"
ESP102CF2J	Spokane	East	Female	Caucasian	2	52	Middle	Middle	2.5	11	0.511144	0.505431	0.139423	0.454699	0.058427	0.246675	0.959184	0.9	0.245283	0.941489	0.382979	0.358333	0.4829215	0.480065	0.573056	0.571151667	C	M	C	M	C	F	C	M	C	F	C	F	C	M	C	M	C	F	C	F	10	10		10	1	1	Yes	friends with parents of kids' friends
ESP110CF2Q	Spokane	East	Female	Caucasian	2	58	Upper-middle	Lower-middle	1	12	0.232772	0.122391	0.00431	0.478045	0.207637	0.388102	0.432	0.378947	0	0.662162	0.132075	0	0.3554085	0.300218	0.440905	0.404111333	C	M	C	F	C	F	C	F	C	M	C	M	C	F	C	F	C	F	C	F	10	10		10	1	1	Yes	"Yes, life has changed, friends more with people who have similar interests."
ESP70HF3Q	Spokane	East	Female	Mexican American	3	37	Working	Working	2.5	7.5	0.267532	0.185741	0.157761	0.638677	0.044369	0.215297	0.168142	0.162162	0	0.83815	0.084337	0.729167	0.4531045	0.412209	0.563637333	0.536373667	C	M	H	M	H	F	H	M	C	F	H	F	C	F	C	F	C	F	C	M	10	4	0.4	6	0.6	0.2	Yes	"Different social status and different levels of intelligence levels, it all kind of ties together."
ESP71HF2R	Spokane	East	Female	Mexican American	2	38	Middle	Upper-middle	2.5	6.5	0	0	0	0.534772	0.570447	0.304348	0	0	0	0.995238	0.634409	0.504425	0.267386	0.267386	0.410141333	0.410141333	C	M	C	M	C	M	C	F	C	F	C	F	C	F	H	F	C	F	H	F	10	2	0.2	8	0.8	0.6	Yes	"Yes, because interests and activities have changed."
ESP79SF1V	Spokane	East	Female	Japanese American	1	93	Working	Working	2.5	8.5	0.137838	0	0	0.272727	0	0.164223	0.244094	0	0	0.514286	0.06422	0.652632	0.2052825	0.1363635	0.415447333	0.369501333	S	F	S	F	S	F	S	F	S	F	S	F	S	F	S	F	S	F	S	F	10	10	1	0	0	-1	No	
ESP80SF1W	Spokane	East	Female	Japanese American	1	93	Working	Lower-middle	2.5	9	0	0	0	0.244726	0	0	0	0	0	0.362963	0.278351	0.809045	0.122363	0.122363	0.414908667	0.414908667	S	F	S	F	S	F	C	F	C	F	C	F	C	F	C	F	S	F	C	F	10	4	0.4	6	0.6	0.2	Yes	
ESP81AM3X	Spokane	East	Male	African American	3	35	Working	Working	2.5	13	0.414855	0.202397	0	0.514085	0	0	0.294118	0.142857	0	0.789474	0	0.375	0.46447	0.358241	0.64298	0.572160667	C	F	H	M	A	F	C	F	C	M	C	M	C	M	A	M	A	M	C	M	10	3	0.3	6	0.6	0.3	Yes	More diverse
ESP89SF2C	Spokane	East	Female	Japanese American	2	52	Working	Middle	1	6	0.481833	0.754079	0.799257	0.544162	0.149758	0.167364	0.962406	0.987952	0.9	0.949721	0.413333	0.261905	0.5129975	0.6491205	0.619543667	0.710292333	S	M	S	M	S	F	C	F	C	M											5	3	0.6	2	0.4	-0.2	Yes	More diverse because of work
