Speaker	Task	City	Region	Gender	Ethnicity	Generation	Word	Vowel	Preceding Phone	Aspirated	Following Phone	Following Class	Begin Time (s)	End Time (s)	Duration (ms)	F0 20%	F0 50%	F0 80%	F1 20%	F1 50%	F1 80%	F2 20%	F2 50%	F2 80%	F3 20%	F3 50%	F3 80%	Normalized F1 20%	Normalized F1 50%	Normalized F1 80%	Normalized F2 20%	Normalized F2 50%	Normalized F2 80%	Notes	Outlier	Checked By	Date	Settings	Analyst	Date	Settings	Praat Version	OS
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	awed	ɔ	t	n	d	C	6394.50	6394.74	238.02	109	108	116	687	686	622	867	1079	1247	2552	2591	2451	-0.363498478	-0.364955142	-0.462892677	-0.130793793	0.087957195	0.232663176		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	awed	ɔ	t	n	d	C	7048.74	7048.98	245.81	--undefined--	--undefined--	110	587	634	613	1251	1058	1275	2438	2554	2380	-0.52080795	-0.443783815	-0.477467834	0.235865741	0.068302843	0.254868688		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	awed	ɔ	t	n	d	C	7294.07	7294.28	214.47	120	116	123	557	651	570	1065	1227	1330	2541	2550	2450	-0.57326753	-0.417323128	-0.550196409	0.074897308	0.216494675	0.297101451		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babble	æ	b	n	b	C	6501.34	6501.50	160.81	113	--undefined--	--undefined--	459	617	583	1651	1613	1356	2436	2425	2343	-0.76678256	-0.470963746	-0.527645584	0.513303674	0.490018308	0.316461699		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babble	æ	b	n	b	C	6819.04	6819.19	158.03	116	110	115	569	650	698	1651	1432	1264	2423	2432	2561	-0.551952336	-0.418860407	-0.347613667	0.513303674	0.370994578	0.246203805		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babble	æ	b	n	b	C	7099.53	7099.68	143.93	--undefined--	--undefined--	111	512	629	684	1683	1534	1345	2397	2415	2472	-0.657508145	-0.451701513	-0.367874852	0.532500424	0.439801212	0.308316522		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babe	e	b	n	b	C	6667.05	6667.29	241.23	109	110	114	436	385	352	1833	1952	2026	2465	2470	2454	-0.818190527	-0.942589436	-1.032201594	0.617876478	0.680776997	0.717985915		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babe	e	b	n	b	C	6739.20	6739.41	216.51	113	111	117	417	377	353	1826	1989	2025	2544	2486	2608	-0.862746548	-0.963587582	-1.029364713	0.614050291	0.699554509	0.71749221		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	babe	e	b	n	b	C	7403.20	7403.42	217.57	113	111	117	440	380	353	1929	2010	1985	2542	2561	2509	-0.809058043	-0.955661517	-1.029364713	0.668924243	0.710057231	0.697541423		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	bad	æ	b	n	d	C	6472.74	6472.96	226.10	115	--undefined--	132	454	522	555	1787	1779	1562	2401	2421	2489	-0.777735572	-0.638165182	-0.576864656	0.592460745	0.587973918	0.457889561		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
